Municipio,IAG0001,IAG2006,IAG2013,IES0001,IES2004,IFE1001,IRS0001,IRS1004,IRS3002,IAP0002,IFD0010,IGR0002
Cabo de Santo Agostinho,0.214882,0.924330,0.978075,0.000000,1.000000,0.759633,0.739297,0.618375,0.0,0.705672,0.000000,0.024510
Caruaru,0.884574,0.487338,0.045455,0.464384,1.000000,0.574312,0.946424,0.385159,0.0,0.220448,0.309039,0.000000
Jaboatão dos Guararapes,0.000000,0.833196,0.577807,0.124559,1.000000,0.796330,0.947859,0.378092,0.0,0.683134,1.000000,0.020833
Olinda,0.631942,0.659745,0.557487,0.332506,1.000000,0.788991,0.976561,0.233216,0.0,0.586866,0.164070,0.000000
Paulista,0.384029,0.426010,0.427273,0.370148,1.000000,0.662385,0.884238,0.477032,0.0,0.295224,0.000000,0.000000
Petrolina,0.201089,0.610592,0.149198,0.717292,1.000000,0.455046,1.000000,0.367491,1.0,0.093134,0.000000,0.001225
Recife,0.396007,1.000000,0.631283,0.387531,0.996053,1.000000,0.961492,0.505300,0.0,1.000000,0.017283,0.000000
Alagoinhas,0.819964,0.154254,1.000000,0.233434,0.514876,0.636697,0.832576,0.194346,0.0,0.404776,0.000000,0.003676
Barreiras,0.861706,0.344737,0.066578,0.845380,1.000000,0.840367,0.535279,0.346290,0.0,0.047612,0.108357,0.000000
Camaçari,0.881670,0.420483,0.705882,0.451706,0.994080,0.607339,0.903372,0.618375,0.0,0.390000,0.242297,0.000000
Feira de Santana,0.712160,0.194517,0.316043,0.553784,0.999241,0.726606,1.000000,0.611307,0.0,0.164179,0.796475,0.000000
Ilhéus,0.591289,0.231194,0.272727,0.620834,1.000000,0.801835,0.000000,0.434629,0.0,0.707612,0.000000,0.080882
Itabuna,0.826860,0.389034,0.492380,0.841328,0.000000,0.031193,0.867735,1.000000,0.0,0.063284,0.027970,0.129902
Jequié,0.713975,0.128184,0.000000,0.908247,0.999545,0.833028,1.000000,0.000000,0.0,0.000000,0.329505,1.000000
Juazeiro,0.973140,0.357586,0.333155,0.922494,0.459775,0.000000,0.550586,0.424028,1.0,0.024478,0.000000,0.000000
Lauro de Freitas,1.000000,0.488235,0.609626,0.373023,0.963874,0.423853,1.000000,0.363958,0.0,0.724478,0.101308,0.000000
Porto Seguro,0.209800,0.000000,0.186631,0.651287,1.000000,0.910092,0.577374,0.416961,0.0,0.056716,0.000000,0.002451
Salvador,0.985844,0.306193,0.798930,1.000000,0.963570,0.895413,1.000000,0.544170,0.0,0.758507,0.555998,0.000000
Vitória da Conquista,0.932849,0.096362,0.054545,0.932035,1.000000,0.766972,0.899785,0.296820,0.0,0.176866,0.006822,0.014706

